Item,Country,Price,Tariff Rate,Posttariff Price,Difference,
Jeans,Egypt, $39.98 ,10%, $43.98 , $4.00 ,
Avocado,Peru, $2.00 ,10%, $2.20 , $0.20 ,
Strawberries,Chile, $5.99 ,10%, $6.59 , $0.60 ,
Coffee,Brazil, $8.30 ,10%, $9.13 , $0.83 ,
SUV,Mexico," $31,395.00 ",25%," $39,243.75 "," $7,848.75 ",
Cashew,India, $13.99 ,26%, $17.63 , $3.64 ,
Soccer,Pakistan, $17.99 ,29%, $23.21 , $5.22 ,
Rice,Thailand, $13.49 ,36%, $18.35 , $4.86 ,
Tea,Sri Lanka, $11.00 ,44%, $15.84 , $4.84 ,
Children's Sneaker,Vietnam, $52.00 ,46%, $75.92 , $23.92 ,
Shrimp,Vietnam, $6.29 ,46%, $9.18 , $2.89 ,
Children's Clothing Set,Cambodia, $24.00 ,49%, $35.76 , $11.76 ,
PS 5,China, $499.00 ,104%," $1,018.00 ", $519.00 ,
Child's Car Seat,China, $59.00 ,104%, $120.00 , $61.00 ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,